장소,수정된 주소,위도,경도
이월드,대구 달서구 두류공원로 200,35.8522393,128.5623122
금호꽃섬,대구 북구 노곡동 665,35.91025,128.56134
팔공산케이블카,대구 동구 팔공산로185길 51,35.9908284,128.6948242
워터파크 스파밸리,대구 달성군 가창면 가창로,35.80313,128.62219
삼국유사테마파크,대구 군위군 의흥면,36.16864,128.73582
네이처파크,대구 달성군 가창면 가창로,35.80313,128.62219
스파크랜드,대구 중구 동성로6길 61,35.8687042,128.59874669066713
국립대구과학관,대구 달성군 유가읍 테크노대로6길,35.6852247,128.4663035
대구아쿠아리움,대구 동구 동부로 149,35.8765658,128.6262441
옥연지 송해공원,대구 달성군 옥포읍 기세리,35.79133025,128.47759575566496
83타워,대구 달서구 두류공원로 200,35.8522393,128.5623122
대새목장,대구 달성군 가창면 가창로93길,35.7486292,128.620761
앞산해넘이전망대,대구 남구 대명동 1501-2,35.83873,128.5751
앞산케이블카,대구 남구 앞산순환로,35.8343976,128.6033977
대명유수지,대구 달서구 대천동 816,35.8228905,128.5030871
달성공원,대구 중구 달성공원로 35,35.871619,128.578885
대구수목원,대구 달서구 화암로 342,35.803604,128.5132476
사유원,대구 군위군 부계면 치산효령로,36.0984547,128.6652125
국립대구박물관,대구 수성구 청호로 321,35.84580965,128.63784449565395
강정보디아크광장,대구 달성군 다사읍 강정본길,35.8428406,128.4642197
두류공원,대구 달서구 공원순환로 36,35.8459098,128.563161
화원유원지,대구 달성군 화원읍 사문진로1길,35.8102774,128.478393
동촌유원지,대구 동구 효목동 1314,35.8814761,128.6437167
봉무공원,대구 동구 봉무동,35.9225867,128.6409109
수성유원지,대구 수성구 두산동 512,35.8307094,128.619849
영화[리틀포레스트]촬영지,대구 군위군 우보면,36.17373,128.66258
국채보상운동기념공원,대구 중구 국채보상로 670,35.8693059,128.60171031137094
청라언덕,대구 중구 달구벌대로 2029,35.8666782,128.5906008686949
신전뮤지엄,대구 북구 관음로 43,35.9541127,128.553688
대구교육박물관,대구 북구 대동로1길 40,35.8977442,128.6128464
아르떼 수성랜드,대구 수성구 무학로 42,35.8296845,128.6168175
국립대구기상과학관,대구 동구 효동로2길 10,35.8805196,128.6528605
달성공원 동물원,대구 중구 달성공원로 35,35.871619,128.578885
월광수변공원,대구 달서구 월곡로 5,35.8122629,128.54468
앞산공원전망대,대구 남구 대명동,35.83873,128.5751
대구근대역사관,대구 중구 경상감영길 67,35.8708028,128.5859117
토이빌리지 대구혁신점,대구 동구 혁신대로 468,35.8747285,128.7420094
군위화산산성전망대,대구 군위군 삼국유사면,36.15227,128.82066
아이니테마파크,대구 수성구 유니버시아드로 140,35.8315463,128.6975929
대구어린이세상,대구 수성구 동대구로 176,35.84766765,128.62803623953005
이곡장미공원,대구 달서구 이곡동 1306-6,35.85409,128.50764
중앙공원,대구 동구 동내로 117,35.8737758,128.7340487
앞산빨래터공원,대구 남구 대명동 1501-2,35.83873,128.5751
수성패밀리파크,대구 수성구 고모동 20-3,35.86287,128.66911
비슬산자연휴양림,대구 달성군 유가읍,35.6940422,128.4597255
도동서원,대구 달성군 구지면,35.65198,128.41084
사문진 주막촌,대구 달성군 화원읍 성산리,35.809764,128.512785
앞산,대구 남구 대명동,35.83873,128.5751
율하체육공원,대구 동구 금호강변로 278,35.869654,128.6861292
동산계곡,대구 군위군 부계면,36.07075,128.65745
두류워터파크,대구 달서구 공원순환로 237,35.8459098,128.563161
팔공산하늘정원,대구 군위군 부계면,36.07075,128.65745
일연공원,대구 군위군 삼국유사면,36.15227,128.82066
수성못상화동산,대구 수성구 무학로 112,35.8294523,128.6206536
