장소,별점,주소
크래프터,4.53,대구 남구 현충로 41-3
연화,4.65,대구 동구 동부로34길 3 연화
토요정,4.57,대구 중구 동성로 8-9 토요정
머꼬삼겹살,4.78,대구 중구 동성로3길 32-43 1층
이가네더덕밥 대구팔공산점,4.53,대구 북구 이곡길 35-41
마마다이닝,4.84,대구 중구 동성로2길 21-5 마마다이닝
유쾌한뭉티기 대구본점,4.66,대구 달서구 야외음악당로 3 1층
바르미스시뷔페 동성로점,4.3,대구 중구 동성로6길 61 태왕스파크 4층
중화반점,4.37,대구 중구 중앙대로 406-12
가야성,4.37,대구 달서구 월배로83길 7
샤브20 성서점,NaN,대구 달서구 달구벌대로 1254 샤브20 성서점
스테이블모먼트 반석점,NaN,대구 북구 복현로8길 19-36 스테이블 모먼트
피에프창 신세계백화점동대구점,4.65,대구 동구 동부로 149 신세계 백화점 8층
아웃백스테이크하우스 대구죽전점,4.58,대구 달서구 달구벌대로 1545 2층
8번식당 본점,4.38,대구 중구 서성로13길 8
라일락식탁,NaN,대구 동구 동부로32길 1 2층
우야지막창 동대구역점,4.53,대구 동구 동부로30길 34 1층 우야지막창
팡팡팡,NaN,대구 중구 동성로1길 15 2층 팡팡팡
이씨씨커피,4.56,대구 중구 종로 72
멜,4.6,대구 중구 동성로2길 5-2 1층
카이젠,NaN,대구 수성구 수성못2길 39 1층
스틸301,NaN,대구 군위군 산성면 산성가음로 996
더포 본점,4.73,대구 달서구 와룡로 169 월드마크 웨스트엔드 상가 107동 110호~111호
지환이네왕족발 본점,4.68,대구 남구 대명복개로 96
아눅 앞산,4.51,대구 남구 앞산순환로 459 아눅 앞산
방천가족족발&보쌈,4.54,대구 중구 달구벌대로446길 11
청담한쭈꾸미,NaN,대구 동구 효동로2길 47-7
마담에뽀끄 대구수성못점,NaN,대구 수성구 수성못2길 21 2층 MADAM EPOQUE
롤러커피,4.51,대구 중구 달구벌대로414길 36
호랑이장칼국수,NaN,대구 달성군 가창면 우록길 184 1층
신송자 신마산식당,4.47,대구 남구 현충로 214
올바릇 나사리식당,NaN,대구 동구 팔공산로 1179 1층~3층
옹심이칼국수,4.38,대구 달성군 다사읍 다사로 655
묘운,NaN,대구 달성군 하빈면 육신사길 34 1층
큐산,4.67,대구 중구 동성로2길 49-17 1층
카페동이 2호점,4.67,대구 수성구 수성로69길 65 상가 7동 106호
몬도카츠 더현대점,NaN,대구 중구 남성로 40-1 1층 몬도카츠
나무집,NaN,대구 달서구 학산로 178 푸른방송혜림별관 c동 1층
바밤,4.99,대구 중구 교동3길 26
핑크라이언,4.68,대구 달서구 한실로6길 158-3 핑크라이언
낙영찜갈비 본점,4.23,대구 중구 동덕로36길 9-17
선분,NaN,대구 중구 명륜로23길 75
현짬뽕,4.55,대구 남구 대봉로 89
동이식당,4.4,대구 달서구 한실로6길 165-7
쉐이크쉑 대구동성로점,4.39,"대구 중구 동성로6길 61 (공평동) 1층 101호, 102호"
초이스엠,4.48,대구 동구 팔공산로 260
부케,4.58,대구 중구 경상감영길 213 2F
랑데자뷰 대구동성로점,4.62,대구 중구 동성로2길 50-9
고미텐,4.63,대구 수성구 동원로 6 1층
정성순대 대구죽전점,NaN,"대구 달서구 와룡로 169 상가 107동 106, 107호"
대구아리조나막창 수성못 본점,4.73,대구 수성구 용학로25길 45
포켓,NaN,대구 수성구 수성못길 20
큰나무집 궁중약백숙,4.36,대구 달성군 가창면 우록길 24 1층
코지하우스 대구 동구점,NaN,대구 동구 동촌로 370 코지하우스
마루막창 대구수성못점,4.29,대구 수성구 수성못2길 5
제일콩국,4.35,대구 중구 남산로6안길 47
동백카츠 월성점,NaN,대구 달서구 조암로 40 한영빌딩 제1동 1층
청도돼지국밥,4.56,대구 남구 대봉로 65
효탄,4.43,대구 수성구 명덕로75길 14-2
유타로 대구점,4.46,대구 중구 중앙대로 406-4 유타로
루토다이닝 by 갓포루토,NaN,대구 수성구 상록로 39 2층
미성당납작만두 본점,4.2,대구 중구 명덕로 93
만수통닭 수성못본점,NaN,대구 수성구 수성못6길 7 1층 만통
얼디,4.69,대구 중구 달구벌대로445길 26-5 1층
미성복어불고기 들안길 본점,NaN,대구 수성구 들안로 87 미성복어불고기
룰리커피,4.49,대구 수성구 고모로 188
민물장어 직판장 풍천관 본점,4.89,대구 달서구 월곡로 268-10 풍천관 본점
조조칼국수 월성점,4.5,대구 달서구 조암로 105
윤옥연할매떡볶이 본점,4.29,대구 수성구 들안로77길 11
녹양구이 두산동점,4.24,대구 수성구 무학로17길 21
카페우즈,NaN,대구 군위군 부계면 한티로 2034
가창닭갈비,4.59,대구 달성군 가창면 가창로119길 13 1층
아웃백스테이크하우스 대구황금점,NaN,대구 수성구 동대구로 219
고영희식당,NaN,대구 중구 달구벌대로 2109-10
발코니 밀즈,NaN,대구 중구 봉산문화2길 42-15 1층 발코니
코쿠,NaN,"대구 중구 공평로8길 46 2층, 3층"
앞산주택,4.44,대구 남구 현충로1길 16
삼덕통닭 동성로점,4.47,대구 중구 동성로5길 89 삼덕통닭
동림식당,4.34,대구 동구 파계로116길 49
스테이블모먼트 월배점,4.53,대구 달서구 조암남로32길 24 스테이블모먼트
만재네 신월성점,NaN,"대구 달서구 조암로 38 A동 1층 102, 103호"
토모루스시 동성로점,4.45,대구 중구 동성로2길 31 1층
후라토식당 대구앞산점,4.51,대구 남구 장전3길 85
반고개의성무침회본점,4.49,대구 서구 달구벌대로375길 17
바비레드 신세계백화점 대구점,4.43,대구 동구 동부로 149 신세계백화점 대구점 지하 1층
온솥,NaN,대구 중구 공평로 49
아리츠,4.6,대구 중구 남성로 47 2층
블루웨이브,4.75,대구 남구 큰골5길 5
동경산보,NaN,대구 중구 동성로2길 8 동경산보 동성로점
온기정 수성못점,4.33,대구 수성구 수성못6길 9 1층 온기정
김해통닭,4.67,대구 중구 국채보상로151길 10 동부시장
마고플레인 아양점,4.43,"대구 동구 해동로 107 2,3층"
뜨돈 진천본점,4.49,대구 달서구 진천로9길 30
달고떡볶이,4.45,대구 달서구 야외음악당로39길 54 삼정그린빌상가 113동 107호
디귿,4.81,대구 중구 달구벌대로 2125-11 1층
강원도집,4.32,대구 달성군 가창면 가창로176길 18
스구식탁 동성로본점,4.61,대구 중구 동성로1길 25 채다올김밥 맞은편
단골식당 백종원3대천왕 연탄돼지불고기,4.5,"대구 북구 칠성시장로7길 9-1 1,2층"
대구근대골목단팥빵 본점,4.42,대구 중구 남성로 7-1 1층 대구근대골목단팥빵 본점
방촌시장원조떡볶이,4.23,대구 동구 동촌로46길 2 방촌시장 떡볶이 첫번째집
경희식당,4.34,대구 중구 큰장로28길 25
라부아뜨엘,NaN,대구 수성구 지범로 248-6
프랭크프랭크,4.54,대구 동구 동부로32길 20-1
만재네 들안길점,NaN,대구 수성구 들안로 125 1층
아트리움,4.5,대구 수성구 국채보상로186길 151
모닥 동대구점,4.82,대구 동구 동부로34길 6 모닥 1층
페어링테이블,4.41,대구 중구 동성로2길 4-3
신천궁전떡볶이,4.42,대구 수성구 국채보상로162길 72
취하는밤,4.79,대구 중구 동성로3길 32-33 1층
남산에,NaN,대구 중구 중앙대로66길 20 효성해링턴 상가 1층 남산에
주리485,NaN,대구 달성군 가창면 주리2길 48 주리485
미라보양대창,4.67,대구 중구 동성로3길 32-7
녹야원 대구칠곡 3지구점,4.7,대구 북구 동암로 128-10 3층 녹야원
스테드,NaN,대구 중구 중앙대로77길 14 sted
미친뷔페,4.57,대구 달서구 구마로 97 유림노르웨이아침 상가2층
이자와 동성로점,4.52,대구 중구 동성로3길 32-21 1층
무시무시 대구공평점,4.6,대구 중구 공평로 53
통나무집,4.36,대구 중구 중앙대로81길 23
삼대애,4.47,대구 중구 명덕로 333 11층 삼대애
서영홍합밥,4.47,대구 중구 약령길 33-8
Backstreet Gosung,NaN,대구 중구 동성로12길 9 1층
맨션 드 방콕,4.59,대구 중구 동성로1길 67
뭉돌이흑돼지 본점,4.84,"대구 북구 동북로 218 뭉돌이흑돼지, 동북로218"
동양백반,4.43,대구 중구 달구벌대로 2109-37
망향비빔국수 대구수성점,4.43,대구 수성구 무학로 89
옹송 하이볼바 동성로,4.87,대구 중구 동성로4길 13
걸리버막창 종로점,NaN,대구 중구 종로 45-1 1층
토끼정 신세계대구,4.38,대구 동구 동부로 149 8층
카페동이 시지점,NaN,대구 수성구 신매로16길 56 상가 1층
라비다로카,4.44,대구 중구 동성로4길 20-13 1층
밀림,NaN,대구 남구 용두길 16
바르미샤브칼국수 칠곡점,4.51,대구 북구 칠곡중앙대로91길 5-11
