장소,별점,수정된 주소,위도,경도
랑데자뷰 대구동성로점,4.62,대구 중구 동성로2길 50-9,35.8667277,128.5963147
고미텐,4.63,대구 수성구 동원로 6,35.862711,128.6396811
제일콩국,4.35,대구 중구 남산로6안길 47,35.8578132,128.5857976
효탄,4.43,대구 수성구 명덕로75길 14-2,35.8554635,128.6119365
유타로 대구점,4.46,대구 중구 중앙대로 406-4,35.8579739,128.5922977
민물장어 직판장 풍천관 본점,4.89,대구 달서구 월곡로 268-10,35.8122629,128.54468
조조칼국수 월성점,4.5,대구 달서구 조암로 105,35.8230649,128.5216426
윤옥연할매떡볶이 본점,4.29,대구 수성구 들안로77길 11,35.8651771,128.6177382
녹양구이 두산동점,4.24,대구 수성구 무학로17길 21,35.831193,128.6177824
삼덕통닭 동성로점,4.47,대구 중구 동성로5길 89,35.8673876,128.5977543
동림식당,4.34,대구 동구 파계로116길 49,35.9870341,128.6386123
스테이블모먼트 월배점,4.53,대구 달서구 조암남로32길 24,35.8187152,128.5152352
후라토식당 대구앞산점,4.51,대구 남구 장전3길 85,35.8413945,128.5757883
반고개의성무침회본점,4.49,대구 서구 달구벌대로375길 17,35.8630316,128.5702204
바비레드 신세계백화점 대구점,4.43,대구 동구 동부로 149,35.8765658,128.6262441
블루웨이브,4.75,대구 남구 큰골5길 5,35.8380052,128.582104
김해통닭,4.67,대구 중구 국채보상로151길 10,35.8692818,128.6122982
마고플레인 아양점,4.43,대구 동구 해동로 107,35.8964546,128.6389103
뜨돈 진천본점,4.49,대구 달서구 진천로9길 30,35.8121887,128.5216797
달고떡볶이,4.45,대구 달서구 야외음악당로39길 54,35.8538031,128.5548342
디귿,4.81,대구 중구 달구벌대로 2125-11,35.862178,128.6048079
강원도집,4.32,대구 달성군 가창면 가창로176길,35.7899036,128.6341283
스구식탁 동성로본점,4.61,대구 중구 동성로1길 25,35.8671397,128.59526
단골식당 백종원3대천왕 연탄돼지불고기,4.5,대구 북구 칠성시장로7길 9-1,35.8759644,128.6030736
대구근대골목단팥빵 본점,4.42,대구 중구 남성로 7-1,35.8683,128.58952
방촌시장원조떡볶이,4.23,대구 동구 동촌로46길 2,35.8796815,128.6639307
경희식당,4.34,대구 중구 큰장로28길 25,35.8698024,128.5811669
모닥 동대구점,4.82,대구 동구 동부로34길 6,35.873131,128.6334272
페어링테이블,4.41,대구 중구 동성로2길 4-3,35.8667277,128.5963147
신천궁전떡볶이,4.42,대구 수성구 국채보상로162길 72,35.8658042,128.6193251
취하는밤,4.79,대구 중구 동성로3길 32-33,35.8678877,128.597894
녹야원 대구칠곡 3지구점,4.7,대구 북구 동암로 128-10,35.943258,128.564546
이자와 동성로점,4.52,대구 중구 동성로3길 32-21,35.8678877,128.597894
무시무시 대구공평점,4.6,대구 중구 공평로 53,35.86883735,128.59975885
통나무집,4.36,대구 중구 중앙대로81길 23,35.869509,128.5894659
삼대애,4.47,대구 중구 명덕로 333,35.8565759,128.595102
서영홍합밥,4.47,대구 중구 약령길 33-8,35.8692931,128.5894706
뭉돌이흑돼지 본점,4.84,대구 북구 동북로 218,35.8968172,128.6171478
동양백반,4.43,대구 중구 달구벌대로 2109-37,35.8622279,128.5720354
망향비빔국수 대구수성점,4.43,대구 수성구 무학로 89,35.8296845,128.6168175
옹송 하이볼바 동성로,4.87,대구 중구 동성로4길 13,35.8675075,128.5991196
차이,4.58,대구 중구 동성로2길 18-15,35.8667277,128.5963147
다나,4.57,대구 중구 동성로2길 12-24,35.8667277,128.5963147
민스크,4.39,대구 남구 현충로6길 9-2,35.8345435,128.5811142
신서문김밥,4.54,대구 중구 큰장로26길 6,35.8685997,128.580255
대도양조장,4.39,대구 중구 동덕로14길 47,35.8600126,128.6066946
바뷔치 중앙로점,4.54,대구 중구 중앙대로81길 1,35.869509,128.5894659
해풍해물칼국수 대구본점,4.57,대구 달서구 야외음악당로39안길 8,35.8528215,128.5525394
태능집,4.44,대구 중구 달성로22길 86,35.8744734,128.5877628
소담히 동성로,4.92,대구 중구 동성로4길 6,35.8675075,128.5991196
갓파스시 대구점,4.22,대구 중구 동성로2길 45,35.8667277,128.5963147
도쿄시장 동성로 본점,4.5,대구 중구 동성로4길 43,35.8675075,128.5991196
빠다롤뺑프랑스,4.51,대구 중구 동성로1길 41,35.8671397,128.59526
오롯이 스토어,4.93,대구 중구 교동3길 36,35.8725584,128.5986233
만재네 종로점,4.57,대구 중구 중앙대로79길 24,35.86927,128.591141
부산안면옥,4.29,대구 중구 국채보상로125길 4,35.8710451,128.5988198
포크팬,4.5,대구 북구 동북로 219,35.8968172,128.6171478
우각정식당 수성못점,4.41,대구 수성구 용학로 111,35.822718,128.6393846
슬로우라이프,4.51,대구 수성구 동대구로77길 33-4,35.8647967,128.6259975
레오차우,4.61,대구 남구 큰골길 46,35.8362566,128.582676
명동돼지한마리,4.61,대구 수성구 범어천로 48,35.8639354,128.6187968
울릉도해물탕 본점,4.42,대구 수성구 청수로 96,35.8518227,128.6592492
간큰갈비 태전점,4.49,대구 북구 태전로 37,35.9296909,128.535132
미진분식 228직영점,4.4,대구 중구 동성로2길 69,35.86904414999999,128.5969112430463
만복이쭈꾸미낙지볶음 동대구점,4.46,대구 동구 동대구로 448,35.8717874,128.6259327
고기9단 침산직영점,4.84,대구 북구 침산남로 197,35.8861527,128.5882501
반월당 부자식당,4.68,대구 중구 관덕정길 13-13,35.8654549,128.590344
성서 제1능이버섯 능이백숙,4.82,대구 달서구 달구벌대로251길 12,35.8541204,128.5049533
인스퍼레이션디동촌유원지,4.41,대구 동구 효동로6길 57,35.8793815,128.6546749
