장소,별점,수정된 주소,위도,경도
오퐁드부아 티 하우스,4.47,대구 달성군 가창면,35.7778073,128.6476679
피플스커피,4.51,대구 중구 봉산문화길 4,35.8623471,128.5975661
덴스크 대구혁신도시점,4.54,대구 동구 이노밸리로 140,35.8870985,128.7061525
핸즈커피 대구다운타운점,4.67,대구 중구 동성로5길 53,35.8673876,128.5977543
두낫헤지테이트,4.55,대구 북구 동천로 127,35.94306745,128.56049519826945
우즈베이커리카페,4.4,대구 동구 송라로10길 2,35.8722977,128.6198871
이이알티 대구,4.6,대구 중구 대봉로 233-1,35.8600276,128.6022248
노다웃,4.67,대구 달서구 서당로7길 64,35.8540671,128.4930283
슬로우터틀 약전골목점,4.57,대구 중구 남성로 53,35.8683,128.58952
모모상점,4.5,대구 중구 국채보상로150길 30,35.8665792,128.6116577
나리꼬모 본점,4.41,대구 수성구 달구벌대로 2683,35.8529892,128.6582164
빠다롤 더 테라스,4.43,대구 달서구 조암남로14길 42,35.8225919,128.5253553
블랙베어도넛 대구점,4.45,대구 중구 봉산문화1길 20,35.8623973,128.5981549
카페 몰리스,4.69,대구 달서구 야외음악당로39동길 32,35.8555515,128.554837
벨빌베이크하우스 팔공산점,4.47,대구 동구 파계로 512,35.9935142,128.6378505
수수밀소,4.39,대구 동구 매여로 320,35.8913013,128.7090236
우즈베이커리 성서점,4.42,대구 달서구 달서대로 573,35.8132605,128.5118292
미드웨이,4.61,대구 중구 동덕로14길 21,35.8600126,128.6066946
더 댄스,4.75,대구 중구 국채보상로102길 35,35.8691264,128.5859813
대봉당1297,4.25,대구 중구 동덕로 14-1,35.8599293,128.604328
파계마루,4.42,대구 동구 파계로 613,35.9935142,128.6378505
우니카트,4.55,대구 수성구 범어천로 151-4,35.856474,128.6224319
라봉봉제과점,4.55,대구 수성구 지범로21길 10,35.8247621,128.6366747
보정당,4.68,대구 동구 반야월로 222,35.8723298,128.7208744
슬로우터틀 중앙대로점,4.63,대구 중구 중앙대로 412-52,35.87506,128.5949
크리스피크림도넛 대구동성로중앙점,4.52,대구 중구 중앙대로 392-1,35.8553663,128.5906658
소문난팥빙수단팥죽,4.44,대구 중구 큰장로26안길 11,35.8666232,128.5776131
핸즈커피 호산점,4.52,대구 달서구 호산동로 148,35.8432258,128.4858234
스타벅스 대구칠곡대로DT점,4.61,대구 북구 칠곡중앙대로 348-1,35.9256629,128.5472804
김진수로스터리카페,4.48,대구 중구 이천로 205,35.8611039,128.5999981
에프에프커피,4.65,대구 중구 공평로10길 30-18,35.8678581,128.6014672
우리밀 제빵소 레헴,4.78,대구 달성군 다사읍 대실역북로2길,35.8649269,128.4658675
커피팀버 월성점,4.59,대구 달서구 조암남로20길 41,35.8215971,128.5211538
커피매거진,4.56,대구 중구 동성로4길 85,35.86861115,128.59933611308855
카르멜,4.45,대구 달성군 다사읍 달구벌대로,35.8674805,128.4239516
아침을기다리는빵,4.44,대구 북구 동천로24길 17,35.94193645,128.56243528672437
스타벅스 동대구터미널점,4.53,대구 동구 동부로30길 12,35.8708792,128.6290606
