장소,별점,주소,수정된 주소,위도,경도
계령식당,4.36,대구 달서구 한실로6길 155-15 1층,대구 달서구 한실로6길 155-15,35.7971293,128.5289789
WANN,4.32,대구 달서구 한실로6길 161,대구 달서구 한실로6길 161,35.7971293,128.5289789
하루부엌,4.57,대구 달서구 화암로71길 19 하루부엌,대구 달서구 화암로71길 19,35.8047862,128.5182406
서남왕족발,4.33,대구 달서구 명천로 14,대구 달서구 명천로 14,35.8081882,128.5128354
일공공샤브 대구수목원점,4.38,대구 달서구 화암로 331,대구 달서구 화암로 331,35.803604,128.5132476
디어원케이크,,대구 수성구 교학로4길 10,대구 수성구 교학로4길 10,35.8551174,128.6504229
울진대게 본점,4.45,대구 수성구 명덕로 450-1 울진대게,대구 수성구 명덕로 450-1,35.8542158,128.6171196
류센소 범어점,,대구 수성구 달구벌대로496길 5 1층 류센소 범어점,대구 수성구 달구벌대로496길 5,35.8566047,128.63287057333307
리안,4.48,대구 수성구 교학로4길 48,대구 수성구 교학로4길 48,35.8552695,128.6503641
후꾸스시,4.55,대구 수성구 동대구로20길 66 후꾸,대구 수성구 동대구로20길 66,35.8382449,128.6271424
에폰베이크샵,,대구 수성구 범어로24길 14 1층,대구 수성구 범어로24길 14,35.8602161,128.6365226
공주얼큰이칼국수,,대구 수성구 범어천로 49 공주얼큰이칼국수,대구 수성구 범어천로 49,35.8639354,128.6187968
황금돗소리,,대구 수성구 범어천로 22 . 1층(황금동) 황금돗소리,대구 수성구 범어천로 22,35.8639354,128.6187968
오스테리아밀즈,4.55,대구 수성구 동원로1길 26 1층,대구 수성구 동원로1길 26,35.8597497,128.6391095
고미텐,4.63,대구 수성구 동원로 6 1층,대구 수성구 동원로 6,35.862711,128.6396811
광장코아 물음표 soju & beer 본점,,대구 달서구 달구벌대로344길 46,대구 달서구 달구벌대로344길 46,35.8555764,128.5532568
bistro053,,대구 달서구 당산로38길 13 1층,대구 달서구 당산로38길 13,35.8535733,128.5498885
현짬뽕,4.55,대구 남구 대봉로 89,대구 남구 대봉로 89,35.8532211,128.6029356
조조칼국수 죽전직영점,4.52,대구 달서구 와룡로 169,대구 달서구 와룡로 169,35.8435651,128.5370638
상무초밥 죽전점,,"대구 달서구 와룡로 169 상가 103동 109, 110호",대구 달서구 와룡로 169,35.8435651,128.5370638
해풍해물칼국수 대구본점,4.57,대구 달서구 야외음악당로39안길 8,대구 달서구 야외음악당로39안길 8,35.8528215,128.5525394
달고떡볶이,4.45,대구 달서구 야외음악당로39길 54 삼정그린빌상가 113동 107호,대구 달서구 야외음악당로39길 54,35.8538031,128.5548342
제주곤이칼국수 대구죽전점,,대구 달서구 달구벌대로 1546 1층,대구 달서구 달구벌대로 1546,35.8514798,128.5410689
푸른회식당,4.46,대구 서구 달구벌대로375길 14-1,대구 서구 달구벌대로375길 14-1,35.8630316,128.5702204
정성순대 대구죽전점,,"대구 달서구 와룡로 169 상가 107동 106, 107호",대구 달서구 와룡로 169,35.8435651,128.5370638
몽돌매운간장닭발&치킨,,대구 동구 효동로6길 30 2층(효목동),대구 동구 효동로6길 30,35.8793815,128.6546749
블루샥 대구 효목점,4.52,대구 동구 효목로 20-1 1층 블루샥 효목점,대구 동구 효목로 20-1,35.8770827,128.6397481
청담한쭈꾸미,,대구 동구 효동로2길 47-7,대구 동구 효동로2길 47-7,35.8805196,128.6528605
로렐트리 동촌유원지 본점,4.71,대구 동구 효동로6길 122 로렐트리,대구 동구 효동로6길 122,35.8793815,128.6546749
마루막창 대구동촌유원지점,4.4,대구 동구 효동로2길 33-7 1층 마루막창 동촌점,대구 동구 효동로2길 33-7,35.8805196,128.6528605
인스퍼레이션디동촌유원지,4.41,대구 동구 효동로6길 57 인스퍼레이션디 동촌유원지,대구 동구 효동로6길 57,35.8793815,128.6546749
민물장어 직판장 풍천관 동촌유원지점,,대구 동구 효동로2길 47-7 2층 풍천관 동촌유원지점,대구 동구 효동로2길 47-7,35.8805196,128.6528605
아양짚 동촌유원지점,,대구 동구 효동로2길 29 1층 아양짚,대구 동구 효동로2길 29,35.8805196,128.6528605
원조돼지갈비찜,4.38,대구 동구 해동로 186 원조 돼지 갈비찜,대구 동구 해동로 186,35.8964546,128.6389103
더뷔페 앳 인터불고,4.54,대구 수성구 팔현길 212 호텔인터불고,대구 수성구 팔현길 212,35.8634775,128.6724827
내안에,4.29,대구 수성구 무학로 85 내안에,대구 수성구 무학로 85,35.8296845,128.6168175
패대기 들안길점,4.85,대구 수성구 들안로 51-1 1층,대구 수성구 들안로 51-1,35.8411811,128.6173904
카이젠,,대구 수성구 수성못2길 39 1층,대구 수성구 수성못2길 39,35.8268423,128.6233599
아티코,4.9,대구 수성구 지범로 43-12,대구 수성구 지범로 43-12,35.82702,128.62757
화로38 수성못점,,대구 수성구 수성못2길 55-1 4층,대구 수성구 수성못2길 55-1,35.8268423,128.6233599
마담에뽀끄 대구수성못점,,대구 수성구 수성못2길 21 2층 MADAM EPOQUE,대구 수성구 수성못2길 21,35.8268423,128.6233599
먼데이오프플리즈 대구,,"대구 수성구 수성못2길 27-5 1층, 2층",대구 수성구 수성못2길 27-5,35.8268423,128.6233599
꽃피는화덕피자D485 대구수성못점,4.55,대구 수성구 용학로 111,대구 수성구 용학로 111,35.822718,128.6393846
용지봉,4.34,대구 수성구 들안로 9,대구 수성구 들안로 9,35.8411811,128.6173904
소수미반상,4.46,대구 수성구 수성못2길 55 2층 소수미반상,대구 수성구 수성못2길 55,35.8268423,128.6233599
블랙타코앤그릴,4.53,대구 중구 공평로 31 건물 2층,대구 중구 공평로 31,35.8739593,128.6014294
빠레뜨한남 대구 동성로점,,대구 중구 동성로2길 58 2층 빠레뜨한남,대구 중구 동성로2길 58,35.8667277,128.5963147
머꼬삼겹살,4.78,대구 중구 동성로3길 32-43 1층,대구 중구 동성로3길 32-43,35.8664398,128.5983398
몽블랑드파리,,대구 중구 동성로6길 21,대구 중구 동성로6길 21,35.8691016,128.5952997
얼디,4.69,대구 중구 달구벌대로445길 26-5 1층,대구 중구 달구벌대로445길 26-5,35.8643327,128.6078914
노팅힐커피하우스,,대구 중구 명륜로23길 56 1층,대구 중구 명륜로23길 56,35.861698,128.5960448
사석,,대구 중구 중앙대로 375 YMCA 건물 1층 사석,대구 중구 중앙대로 375,35.8579739,128.5922977
오무하무 동성로점,,대구 중구 동성로3길 5 2층,대구 중구 동성로3길 5,35.8678877,128.597894
보난자카츠,,대구 중구 달구벌대로446길 28 1층,대구 중구 달구벌대로446길 28,35.8617093,128.6058585
